    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)        fxyz         fx3          fy3          fz3       fx(y2-z2)    fy(z2-x2)    fz(x2-y2)        f          Int(f)       total      Int(total) 
 -143.0000  5.34507E-13  3.14180E-13  2.08387E-13  1.89825E-13  1.99115E-13  5.97327E-13  3.49215E-13  4.19987E-14  2.56098E-14  9.42937E-14  5.17926E-14  5.66510E-14  2.70346E-13  1.57306E-13  5.24669E-14  7.42011E-14  4.35261E-14  6.89199E-14  7.48695E-14  3.16930E-14  7.79545E-14  4.23631E-13  2.49936E-13  1.82581E-12  1.07064E-12
 -142.5000  5.29530E-13  3.33640E-13  2.06683E-13  1.88126E-13  1.97413E-13  5.92222E-13  3.70979E-13  4.16170E-14  2.53381E-14  9.37541E-14  5.12800E-14  5.62414E-14  2.68231E-13  1.67163E-13  5.19219E-14  7.35386E-14  4.30005E-14  6.81884E-14  7.42508E-14  3.11636E-14  7.74088E-14  4.19473E-13  2.65351E-13  1.80945E-12  1.13713E-12
 -142.0000  5.24621E-13  3.52919E-13  2.04981E-13  1.86431E-13  1.95711E-13  5.87123E-13  3.92556E-13  4.12153E-14  2.50817E-14  9.32148E-14  5.07469E-14  5.58406E-14  2.66099E-13  1.76942E-13  5.13783E-14  7.28753E-14  4.24756E-14  6.74582E-14  7.36351E-14  3.06402E-14  7.68628E-14  4.15325E-13  2.80614E-13  1.79317E-12  1.20303E-12
 -141.5000  5.19655E-13  3.72016E-13  2.03280E-13  1.84740E-13  1.94018E-13  5.82039E-13  4.13945E-13  4.08455E-14  2.48076E-14  9.26828E-14  5.02374E-14  5.54201E-14  2.63993E-13  1.86644E-13  5.08353E-14  7.22188E-14  4.19553E-14  6.67323E-14  7.30207E-14  3.01178E-14  7.63166E-14  4.11197E-13  2.95725E-13  1.77688E-12  1.26833E-12
 -141.0000  5.14772E-13  3.90934E-13  2.01587E-13  1.83057E-13  1.92328E-13  5.76972E-13  4.35148E-13  4.04400E-14  2.45470E-14  9.21317E-14  4.97016E-14  5.50136E-14  2.61834E-13  1.96266E-13  5.02945E-14  7.15630E-14  4.14437E-14  6.60073E-14  7.24095E-14  2.96005E-14  7.57728E-14  4.07091E-13  3.10685E-13  1.76067E-12  1.33303E-12
 -140.5000  5.09902E-13  4.09672E-13  1.99896E-13  1.81373E-13  1.90643E-13  5.71912E-13  4.56166E-13  4.00562E-14  2.42472E-14  9.15962E-14  4.91828E-14  5.45925E-14  2.59675E-13  2.05809E-13  4.97549E-14  7.09086E-14  4.09312E-14  6.52857E-14  7.18000E-14  2.90870E-14  7.52290E-14  4.02996E-13  3.25495E-13  1.74449E-12  1.39714E-12
 -140.0000  5.05001E-13  4.28231E-13  1.98207E-13  1.79695E-13  1.88960E-13  5.66862E-13  4.76998E-13  3.96761E-14  2.39936E-14  9.10517E-14  4.86643E-14  5.41722E-14  2.57558E-13  2.15274E-13  4.92149E-14  7.02570E-14  4.04181E-14  6.45666E-14  7.11967E-14  2.85751E-14  7.46880E-14  3.98916E-13  3.40155E-13  1.72834E-12  1.46066E-12
 -139.5000  5.00153E-13  4.46611E-13  1.96528E-13  1.78019E-13  1.87278E-13  5.61824E-13  4.97644E-13  3.92892E-14  2.37260E-14  9.04926E-14  4.81439E-14  5.37745E-14  2.55426E-13  2.24661E-13  4.86765E-14  6.96087E-14  3.99141E-14  6.38501E-14  7.05900E-14  2.80747E-14  7.41452E-14  3.94859E-13  3.54666E-13  1.71226E-12  1.52358E-12
 -139.0000  4.95370E-13  4.64815E-13  1.94852E-13  1.76351E-13  1.85610E-13  5.56812E-13  5.18107E-13  3.89017E-14  2.34623E-14  8.99750E-14  4.76157E-14  5.33471E-14  2.53302E-13  2.33970E-13  4.81394E-14  6.89633E-14  3.94131E-14  6.31361E-14  6.99904E-14  2.75714E-14  7.36044E-14  3.90818E-13  3.69028E-13  1.69630E-12  1.58592E-12
 -138.5000  4.90587E-13  4.82844E-13  1.93171E-13  1.74684E-13  1.83940E-13  5.51795E-13  5.38385E-13  3.85089E-14  2.31863E-14  8.94470E-14  4.70964E-14  5.29476E-14  2.51186E-13  2.43201E-13  4.76044E-14  6.83203E-14  3.89153E-14  6.24242E-14  6.93948E-14  2.70700E-14  7.30668E-14  3.86796E-13  3.83243E-13  1.68036E-12  1.64767E-12
